#t dx dy dz
1.55 490.6443 -281.9427 1916.6248
1.56 404.0133 -286.0837 1966.8248
1.57 472.2043 -371.8927 2054.1848
1.58 570.1723 -325.1717 1897.0248
1.59 648.6253 -318.4027 2034.4248
1.6 647.1333 -311.6677 1999.7248
1.61 577.4583 -370.1147 2129.6548
1.62 546.1083 -307.9257 1910.9348
1.63 555.8143 -222.0227 1845.1148
1.64 588.7573 -191.4307 2100.5548
1.65 677.7393 -107.9527 2057.1548
1.66 717.2463 -189.9707 2121.3048
1.67 612.4583 -251.9627 2244.1948
1.68 725.3003 -312.6997 2285.0148
1.69 689.7063 -310.5577 2392.0048
1.7 659.5873 -286.4637 2312.9348
1.71 604.4513 -253.3507 2432.8648
1.72 629.2593 -323.9307 2501.1248
1.73 674.4853 -238.1137 2395.2148
1.74 677.2903 -246.6907 2125.8948
1.75 656.4263 -275.2297 2086.1148
1.76 695.7413 -275.3667 2198.4348
1.77 644.8233 -280.8007 2028.4648
1.78 531.3773 -255.0437 2247.6948
1.79 550.7693 -342.8057 2229.5848
1.8 605.0643 -258.6107 2108.8548
1.81 510.9333 -260.5987 2206.2948
1.82 494.4593 -305.4617 2097.2148
1.83 556.1633 -300.0377 2232.8248
1.84 591.7633 -239.9347 2350.8448
1.85 639.6843 -167.5907 2412.3748
1.86 649.1943 -226.1237 2551.0748
1.87 593.2773 -266.1427 2613.2748
1.88 626.2953 -171.6267 2524.5248
1.89 660.7413 -72.6683 2260.3148
1.9 627.7233 -57.1065 2403.3448
1.91 554.0443 -14.1152 2258.4848
1.92 512.8643 23.7470 2288.0448
1.93 441.2103 -2.6252 2219.4148
1.94 499.8713 39.4570 2290.6148
1.95 624.6363 72.4266 2441.2748
1.96 646.8923 59.0390 2284.9748
1.97 612.1683 31.4908 2277.5748
1.98 606.7663 56.4675 2287.8748
1.99 554.3223 68.1124 2307.0148
2.0 556.7453 153.7613 2001.0248
2.01 619.1113 107.3903 2181.3248
2.02 640.1793 112.9063 2072.0848
2.03 624.7653 150.2213 1939.3248
2.04 622.9833 65.1020 2154.2848
2.05 655.0433 -0.7648 2207.1448
2.06 645.3853 19.5849 2246.0748
2.07 656.3093 5.9733 2106.9748
2.08 625.5293 -11.0217 2052.4848
2.09 593.9153 -51.4362 1996.6348
2.1 560.7353 -21.4751 2048.2148
2.11 568.2603 -35.2284 2127.2648
2.12 556.8773 33.7732 2048.9448
2.13 624.5123 53.1756 2112.9948
2.14 696.5113 54.0213 2056.3548
2.15 646.4703 58.8250 1976.9948
2.16 672.6263 -6.3483 1944.2848
2.17 673.2523 -54.1271 1961.3948
2.18 805.8493 -13.7419 1941.3448
2.19 805.6983 -24.0883 1862.9548
2.2 768.1533 -34.7044 1836.2848
2.21 805.5633 -94.7718 1750.7448
2.22 814.8543 -24.6694 1981.3948
2.23 837.0773 -87.8497 1885.4748
2.24 776.4483 -75.9634 2151.7948
2.25 797.8553 -73.2570 2172.8148
2.26 810.7733 -81.2636 2284.1848
2.27 799.7883 -181.6557 2437.4848
2.28 853.1553 -265.9117 2402.5648
2.29 753.6703 -271.5577 2429.4148
2.3 824.7723 -347.5407 2272.0548
2.31 848.9123 -421.5777 2246.4348
2.32 941.9633 -474.6377 2147.4648
2.33 902.8773 -375.7247 1866.5048
2.34 913.4943 -194.4167 1809.2748
2.35 947.1843 -134.1657 1677.9248
2.36 1007.1693 -97.5701 1730.5548
2.37 996.0403 -152.9457 1826.2548
2.38 946.5863 -155.6927 1692.8048
2.39 876.3573 -152.7527 1646.4048
2.4 850.3253 -218.0167 1666.0948
2.41 808.6513 -233.8267 1759.1548
2.42 760.5413 -196.1517 1748.7648
2.43 773.0563 -261.8187 1753.8648
2.44 752.7863 -211.3837 1784.8748
2.45 760.1083 -285.9677 1827.4648
2.46 856.1673 -214.8517 1784.5248
2.47 926.7683 -184.0797 1799.9248
2.48 904.4333 -244.4167 1769.3548
2.49 864.0233 -210.3597 1830.2748
2.5 864.2083 -173.3037 1729.8848
2.51 895.8213 -234.6007 1498.3748
2.52 917.5713 -353.0617 1485.5148
2.53 889.9233 -360.5657 1204.2948
2.54 850.1203 -327.6167 1107.5148
2.55 827.2653 -357.5187 1171.7648
2.56 814.8473 -423.1877 1075.1148
2.57 740.6033 -465.3197 1039.0048
2.58 691.8863 -397.3007 916.5828
2.59 730.5593 -373.6467 830.9698
2.6 716.2083 -417.0377 832.8198
2.61 675.5203 -375.3287 925.1628
2.62 643.7673 -372.6487 894.9358
2.63 715.6473 -332.7547 1015.8548
2.64 674.2753 -419.6627 1070.1448
2.65 766.8023 -389.9667 1054.3448
2.66 740.0863 -332.6537 1039.5848
2.67 746.5063 -460.2407 1086.7848
2.68 680.4243 -518.5457 1119.0148
2.69 683.1793 -470.1077 926.4188
2.7 693.5643 -236.0437 705.5718
2.71 736.1003 -199.2637 452.5328
2.72 671.9433 -76.7708 343.7998
2.73 666.0323 -53.8728 316.0238
2.74 775.9313 -29.5571 290.9878
2.75 782.4873 -105.5287 310.6958
2.76 695.7573 -213.2577 253.5488
2.77 752.1013 -230.0947 130.0378
2.78 657.8033 -271.7327 109.6488
2.79 751.9603 -223.6747 267.0478
2.8 781.6333 -192.1777 166.3308
2.81 792.6553 -249.3987 17.3447
2.82 802.9043 -227.7517 175.5408
2.83 821.8943 -327.5827 334.4808
2.84 795.6683 -332.7087 214.6998
2.85 761.4163 -331.5817 46.0066
2.86 841.3243 -265.8567 80.4594
2.87 787.1573 -210.0047 158.3968
2.88 809.5333 -205.9507 39.3785
2.89 925.2023 -251.1457 108.8838
2.9 963.7903 -217.0787 95.1561
2.91 882.3093 -289.4337 36.1886
2.92 863.0823 -280.0517 3.3049
2.93 787.4913 -306.3177 -21.8050
2.94 761.9383 -258.3427 -154.3382
2.95 734.9763 -272.8977 -170.9132
2.96 737.0943 -299.2017 -133.7422
2.97 747.6613 -356.1077 -65.8163
2.98 640.6933 -450.7027 -172.8402
2.99 643.4833 -482.4897 -185.3192
3.0 659.1373 -402.0007 -406.0192
3.01 662.4443 -360.7857 -430.5742
3.02 694.1183 -395.6587 -524.2232
3.03 635.0633 -398.0577 -518.4822
3.04 728.7243 -326.7737 -450.9832
3.05 705.1063 -279.4057 -563.4532
3.06 753.5293 -301.3367 -553.2322
3.07 755.3043 -264.1257 -405.5522
3.08 755.5013 -245.1377 -297.4152
3.09 858.5853 -332.9287 -327.3862
3.1 850.5443 -352.4677 -481.1102
3.11 812.9643 -358.3157 -465.2362
3.12 826.3123 -437.9417 -424.2482
3.13 909.8553 -529.4807 -398.0282
3.14 983.5803 -483.1057 -419.6512
3.15 1065.5093 -522.9207 -300.7302
3.16 1139.2193 -492.3367 -188.4702
3.17 1177.8793 -471.5777 -202.6132
3.18 1231.5293 -543.2457 -302.0572
3.19 1187.6393 -547.1897 -410.6372
3.2 1249.7293 -587.3847 -478.1892
3.21 1334.2193 -598.1307 -502.7982
3.22 1351.0993 -609.7267 -714.4392
3.23 1252.3893 -582.1947 -554.7682
3.24 1348.7293 -597.9297 -635.7622
3.25 1373.8993 -490.0507 -545.7102
3.26 1435.4293 -521.5107 -615.5202
3.27 1454.7493 -532.1277 -464.9192
3.28 1403.2693 -533.3147 -234.4862
3.29 1392.7093 -517.2577 -415.0482
3.3 1378.1693 -558.2417 -355.6152
3.31 1445.1893 -511.4187 -88.6711
3.32 1464.6793 -578.4897 -103.9652
3.33 1534.9693 -598.7837 -117.4582
3.34 1559.5693 -548.7837 46.1305
3.35 1586.2193 -591.5967 -124.7422
3.36 1672.4893 -533.7727 -238.2212
3.37 1663.8493 -437.4877 -105.0062
3.38 1683.6093 -468.9447 -240.4612
3.39 1668.8093 -438.1877 -130.2532
3.4 1644.4293 -372.3777 -29.3317
3.41 1638.1093 -421.8267 -143.2552
3.42 1738.0793 -246.5547 -217.2932
3.43 1698.8693 -280.4737 -165.2942
3.44 1729.2493 -304.4647 -78.3743
3.45 1731.0993 -272.8897 -329.6882
3.46 1745.3893 -197.4047 -103.6952
3.47 1757.4093 -296.0887 -70.3373
3.48 1742.2493 -321.0767 -107.8862
3.49 1759.5793 -364.6017 -69.5940
3.5 1808.5893 -382.2557 -109.5992
3.51 1765.1493 -454.1627 -115.7062
3.52 1816.5193 -389.8857 -138.4142
3.53 1775.8193 -388.7097 -91.0135
3.54 1722.9893 -380.9947 -167.2252
3.55 1742.7193 -406.5847 -48.3870
3.56 1746.9393 -374.3417 80.5069
3.57 1719.7293 -338.8497 16.7037
3.58 1550.1993 -431.7777 220.9148
3.59 1606.5593 -425.2937 264.1138
3.6 1604.0093 -455.3577 344.3348
3.61 1609.0093 -483.7517 269.7618
3.62 1621.1493 -534.8227 502.5028
3.63 1618.5993 -535.3567 318.6608
3.64 1606.3193 -558.1827 355.7198
3.65 1545.5793 -587.1197 292.4998
3.66 1506.3293 -574.8587 259.7098
3.67 1499.3393 -600.1937 277.4308
3.68 1537.3693 -638.4557 189.2348
3.69 1535.7593 -701.1397 229.8928
3.7 1530.6293 -713.9917 145.6288
3.71 1510.9593 -675.5477 160.1178
3.72 1479.8893 -692.3697 199.4918
3.73 1521.4293 -697.5917 250.3308
3.74 1481.5593 -667.9557 132.1658
3.75 1513.5793 -667.3697 10.0552
3.76 1523.1593 -647.6917 -94.1509
3.77 1548.8093 -671.6157 -143.0312
3.78 1558.3193 -740.8137 -236.6302
3.79 1630.7793 -722.3027 -365.4312
3.8 1561.7193 -598.4197 -408.6812
3.81 1514.6093 -445.1837 -244.7262
3.82 1489.8193 -450.0817 -86.3538
3.83 1464.1693 -425.0117 -175.0472
3.84 1449.7593 -445.8327 -152.9232
3.85 1527.5993 -501.6957 -174.5142
3.86 1437.8993 -405.4277 -260.1632
3.87 1469.9193 -446.3907 -302.2242
3.88 1452.6493 -379.6427 -346.3612
3.89 1551.8693 -384.3787 -387.5682
3.9 1521.4093 -342.4847 -408.1782
3.91 1679.5993 -449.5207 -326.8922
3.92 1758.7693 -403.3827 -372.3462
3.93 1926.1593 -450.5537 -353.6622
3.94 1898.9293 -469.2087 -194.9292
3.95 1924.7693 -559.5107 -420.9072
3.96 1926.7593 -624.5117 -589.5612
3.97 1974.0593 -658.6517 -478.1232
3.98 1994.5093 -719.9047 -584.7722
3.99 1959.5693 -788.5367 -691.2802
4.0 1992.1493 -763.5307 -532.4852
4.01 1958.4293 -851.2787 -644.7882
4.02 1769.7593 -760.2717 -704.1192
4.03 1726.0193 -686.8017 -808.0252
4.04 1790.3593 -751.6227 -694.7972
4.05 1846.3293 -756.8917 -551.1252
4.06 1826.6693 -755.8217 -599.9422
4.07 1814.8093 -740.5427 -636.2652
4.08 1940.5893 -811.3537 -648.4602
4.09 1998.7093 -709.6737 -695.4012
4.1 1979.1893 -767.8787 -670.6012
4.11 2045.9793 -835.7217 -598.2892
4.12 2007.1693 -802.5407 -735.0152
4.13 1915.6493 -799.5437 -734.9422
4.14 1874.6793 -823.2137 -845.7602
4.15 1850.3593 -982.1607 -740.1712
4.16 1886.9293 -1010.8537 -796.7942
4.17 1882.3193 -963.9317 -889.5492
4.18 1950.8093 -881.0507 -1022.3352
4.19 2059.6993 -939.2967 -972.1622
4.2 2128.6093 -830.1677 -911.9442
4.21 2161.3793 -721.4527 -991.6892
4.22 2194.3493 -694.8907 -1299.2052
4.23 2283.6893 -689.2207 -1195.3952
4.24 2301.2393 -621.6637 -1066.4552
4.25 2179.0493 -693.6697 -1035.4952
4.26 2050.2293 -651.6967 -910.3382
4.27 2055.6493 -679.0937 -763.7332
4.28 2070.0893 -563.5017 -874.8692
4.29 2131.4493 -569.4767 -552.8842
4.3 2135.6093 -634.0467 -532.7442
4.31 2136.6893 -628.1067 -373.0372
4.32 2158.6793 -690.1227 -463.2082
4.33 2153.5993 -718.1937 -460.6932
4.34 2100.7993 -700.0857 -423.8812
4.35 2045.7293 -715.3317 -436.4402
4.36 2025.6593 -745.0957 -589.2412
4.37 2077.9993 -779.2977 -528.5842
4.38 2022.8593 -684.9397 -525.6432
4.39 2060.3793 -711.6317 -450.5002
4.4 2031.3193 -760.0087 -501.3002
4.41 2073.3093 -774.7837 -489.2282
4.42 2084.0793 -754.5147 -636.6182
4.43 2052.6093 -749.0777 -640.8822
4.44 2089.9793 -759.8527 -522.5242
4.45 2040.0893 -845.5347 -294.5572
4.46 2008.4093 -859.0587 -307.1592
4.47 2129.3793 -848.7287 -341.5792
4.48 2015.3793 -961.6697 -388.9632
4.49 1919.8793 -1057.6237 -394.5832
4.5 1966.2493 -1078.9137 -609.5142
4.51 1959.5693 -1156.5737 -591.6592
4.52 1883.9493 -1108.8037 -493.7432
4.53 1917.5693 -1165.0837 -332.4462
4.54 1978.3593 -1119.8637 -483.8832
4.55 1940.5793 -1094.7037 -471.0822
4.56 1996.7693 -1106.6137 -308.9372
4.57 2064.5793 -1116.2337 -312.2302
4.58 2026.9893 -1141.4737 -215.1712
4.59 2014.8593 -1151.6137 -166.9402
4.6 2021.1393 -1161.1937 -175.3712
4.61 2081.1993 -1124.0637 -155.1622
4.62 2173.0793 -1124.5037 -172.4192
4.63 2190.0493 -1194.0937 -194.0492
4.64 2178.5493 -1187.6537 16.8425
4.65 2279.5893 -1144.6837 -4.7181
4.66 2364.3593 -1097.8537 101.5148
4.67 2326.4293 -1194.1237 142.3598
4.68 2432.8393 -1171.4237 8.8551
4.69 2451.3393 -1108.8337 -159.8222
4.7 2425.2793 -1116.2637 -261.2312
4.71 2378.9393 -1188.0137 -182.9372
4.72 2301.3193 -1127.6537 -38.1251
4.73 2380.9893 -1124.9437 -141.2422
4.74 2459.7193 -1156.5037 -283.7332
