0.0	0.0
0.001	0.07505919811581875
0.002	0.14793616256087594
0.003	0.22017385171683596
0.004	0.29276045289957997
0.005	0.36634470792316154
0.006	0.43812790281726344
0.007	0.5104805893129787
0.008	0.5834918945718612
0.009	0.6563495070186831
0.01	0.7279316050506813
0.011	0.7995055558615615
0.012	0.8705569762534936
0.013	0.943886083908789
0.014	1.0173666210798855
0.015	1.0917430772348642
0.016	1.1663954795525515
0.017	1.2420778605040286
0.018	1.3176979656630963
0.019	1.3924935757185106
0.02	1.4668494730923918
0.021	1.5424304661893127
0.022	1.616619354251522
0.023	1.6906355249353116
0.024	1.764838637198099
0.025	1.8387841031990433
0.026	1.9129286736989284
0.027	1.9865814093635934
0.028	2.059570501565646
0.029	2.131624240497465
0.03	2.203407037611141
0.031	2.272753396463599
0.032	2.342217605527136
0.033	2.4124119374410196
0.034	2.482290359920716
0.035	2.552457706659687
0.036	2.6224566801352043
0.037	2.6932568486585176
0.038	2.7640950713636947
0.039	2.8334606257725072
0.04	2.9030989053700353
0.041	2.972742951345366
0.042	3.043040364465381
0.043	3.1132808311720073
0.044	3.183361646969572
0.045	3.2546636714230655
0.046	3.3253339794536707
0.047	3.3966605324486068
0.048	3.469777447178648
0.049	3.542250378197089
0.05	3.6140404992043784
0.051	3.684471348666751
0.052	3.7571533448999364
0.053	3.8302261199830068
0.054	3.9016357588892463
0.055	3.9732388580876
0.056	4.04459090357265
0.057	4.115038986065352
0.058	4.185621246432325
0.059	4.256432103533958
0.06	4.3254183860449675
0.061	4.393491833081828
0.062	4.4627472563677255
0.063	4.531752943771123
0.064	4.600745872000091
0.065	4.6698343279693715
0.066	4.739272266908401
0.067	4.809121260531559
0.068	4.8788243257751
0.069	4.947423049127108
0.07	5.0155128402565525
0.071	5.082931592817875
0.072	5.149654377994585
0.073	5.21671499197479
0.074	5.283389131354802
0.075	5.350935422152353
0.076	5.418384774384264
0.077	5.4854397842092055
0.078	5.552887219036789
0.079	5.621776578811628
0.08	5.6907737471442
0.081	5.759339580201131
0.082	5.827490990013708
0.083	5.895630984241516
0.084	5.962887239534668
0.085	6.031558667304288
0.086	6.101476251919079
0.087	6.170411907475525
0.088	6.239614725986989
0.089	6.309224741793803
0.09	6.378616996186081
0.091	6.448351708550333
0.092	6.518555672928266
0.093	6.58861706748981
0.094	6.658920609548297
0.095	6.728354420136953
0.096	6.798488312664908
0.097	6.8679293314642225
0.098	6.939289635489315
0.099	7.010896075454676
