#t/tau	dx	dy	dz	ds^2	
9.7	-3147.58	2913.59	-5136.88	4.47838e+07	
9.8	-3159.47	2922.89	-4966.57	4.31923e+07	
9.9	-3266.39	3000.24	-5009.73	4.47681e+07	
10	-3297.69	3365.11	-4727.14	4.45446e+07	
10.1	-3485.88	3468.59	-4690.1	4.61795e+07	
10.2	-3578.26	3474.45	-4826.24	4.81683e+07	
10.3	-4174.21	3351.45	-5175.24	5.54394e+07	
10.4	-4463.63	3423.11	-5516.01	6.2068e+07	
10.5	-4421.69	3376.54	-6110.67	6.82926e+07	
10.6	-4539.11	3597.43	-5761.73	6.67426e+07	
10.7	-4338.39	3471.6	-6004.59	6.69288e+07	
10.8	-4341.5	3424.17	-6109.75	6.79027e+07	
10.9	-4234.84	3596.32	-5783.75	6.43191e+07	
11	-4079.95	3231.53	-6234.16	6.59535e+07	
11.1	-4038.78	3236.68	-6500.09	6.9039e+07	
11.2	-4094.79	3208.45	-6458.91	6.8779e+07	
11.3	-4205.16	3171.29	-6192.55	6.60881e+07	
11.4	-4042.79	3117.27	-6314.59	6.59356e+07	
11.5	-4101.33	3194	-6913.85	7.48239e+07	
11.6	-4083.81	3101.86	-6114.68	6.36884e+07	
11.7	-3880.79	3138.98	-6224.75	6.36613e+07	
11.8	-4036.51	3061.27	-6736.42	7.10442e+07	
11.9	-4214.79	3287.9	-6764.75	7.43366e+07	
12	-3957.35	3064.26	-6983.04	7.38132e+07	
12.1	-3826.64	2849.09	-6705.52	6.77244e+07	
12.2	-3625.28	2949.96	-6918.85	6.97154e+07	
12.3	-3268.54	2992.36	-6919.24	6.75135e+07	
12.4	-3086.02	2973.35	-6481.75	6.03774e+07	
12.5	-2713.16	2982.52	-6189.79	5.45702e+07	
12.6	-2539.31	3026.23	-6268.75	5.49034e+07	
12.7	-2640.45	3094.69	-5661.73	4.86042e+07	
12.8	-2647.49	3037.12	-6231.43	5.5064e+07	
12.9	-2826.14	2879.27	-6437.69	5.77211e+07	
13	-2476.71	3012.67	-6153.04	5.30701e+07	
13.1	-2561.86	3018.12	-5928.59	5.08203e+07	
13.2	-2549.81	2844.92	-6167.3	5.26307e+07	
